암호화요양기호,요양기관명,교통편명,노선번호,하차지점,방향,거리,비고
JDQ4MTYyMiM1MSMkMSMkMCMkMTMkNDgxNzAyIzIxIyQyIyQxIyQwMCQyNjE0ODEjNjEjJDEjJDgjJDgz,하늘마음한의원,시내버스,"520,7,700-2",3번출구,,,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxOTYxIzMxIyQxIyQ3IyQ3MiQzNjE4MzIjNjEjJDEjJDgjJDgz,분당예비뇨기과의원,시내버스,효자촌이나 서현중학교방면운행버스,효자촌이나 서현중학교앞에서하차,서울방향으로 갈 때,,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMzUxIzIxIyQxIyQxIyQ3OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,삼성항외과의원,지하철,분당선,미금역,6번출구,100미터,MD프라자 4층
JDU4MTI3MSM1MSMkMiMkMCMkMDAkMzgxMzUxIzIxIyQxIyQxIyQ3OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,삼성항외과의원,지하철,신분당선,미금역,6번출구,100미터,MD프라자 4층
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQxIyQ5MiQyNjE0ODEjNDEjJDEjJDQjJDgz,등마루신경외과의원,시내버스,50,"신흥시장,수정구보건소",,,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQxIyQ5MiQyNjE0ODEjNDEjJDEjJDQjJDgz,등마루신경외과의원,시내버스,200,"신흥시장,수정구보건소",,,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQxIyQ5MiQyNjE0ODEjNDEjJDEjJDQjJDgz,등마루신경외과의원,시내버스,220,"신흥시장,수정구보건소",,,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQxIyQ5MiQyNjE0ODEjNDEjJDEjJDQjJDgz,등마루신경외과의원,시내버스,330,"신흥시장,수정구보건소",,,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQxIyQ5MiQyNjE0ODEjNDEjJDEjJDQjJDgz,등마루신경외과의원,마을버스,87,"신흥시장,수정구보건소",,,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQxIyQ5MiQyNjE0ODEjNDEjJDEjJDQjJDgz,등마루신경외과의원,시내버스,3-1,"성남시의료원,신흥1동행정복지센터",수정구 보건소 방면,228m,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQxIyQ5MiQyNjE0ODEjNDEjJDEjJDQjJDgz,등마루신경외과의원,시내버스,100,"성남시의료원,신흥1동행정복지센터",수정구 보건소 방면,228m,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQxIyQ5MiQyNjE0ODEjNDEjJDEjJDQjJDgz,등마루신경외과의원,시내버스,240,"성남시의료원,신흥1동행정복지센터",수정구 보건소 방면,228m,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQxIyQ5MiQyNjE0ODEjNDEjJDEjJDQjJDgz,등마루신경외과의원,시내버스,811,"성남시의료원,신흥1동행정복지센터",수정구 보건소 방면,228m,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQxIyQ5MiQyNjE0ODEjNDEjJDEjJDQjJDgz,등마루신경외과의원,시내버스,302,"성남시의료원,신흥1동행정복지센터",수정구 보건소 방면,228m,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQxIyQ5MiQyNjE0ODEjNDEjJDEjJDQjJDgz,등마루신경외과의원,시내버스,303,"성남시의료원,신흥1동행정복지센터",수정구 보건소 방면,228m,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQxIyQ5MiQyNjE0ODEjNDEjJDEjJDQjJDgz,등마루신경외과의원,시내버스,452,"성남시의료원,신흥1동행정복지센터",수정구 보건소 방면,228m,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQxIyQ5MiQyNjE0ODEjNDEjJDEjJDQjJDgz,등마루신경외과의원,시내버스,4425,"성남시의료원,신흥1동행정복지센터",수정구 보건소 방면,228m,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQxIyQ5MiQyNjE0ODEjNDEjJDEjJDQjJDgz,등마루신경외과의원,마을버스,10-2,"성남시의료원,신흥1동행정복지센터",수정구 보건소 방면,228m,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxOTYxIzIxIyQxIyQxIyQ5MiQyNjE0ODEjNDEjJDEjJDQjJDgz,등마루신경외과의원,지하철,8호선,신흥역 3번출구,성남 이마트 방면,668m,
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQ1IyQ3MiQzNjEwMDIjNDEjJDEjJDQjJDgz,위례경희한의원,지하철,8호선,장지역,"위례방향 정류장에서 버스 3420, 345, 50, 315, 343, 331, 60, 440 타고 아트리버 푸르지오 정류장에서 하차",,
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQ1IyQ3MiQzNjEwMDIjNDEjJDEjJDQjJDgz,위례경희한의원,지하철,"분당선, 8호선",복정역 2번출구,"환승정류장에서 331, 50번 버스타고 아트리버 푸르지오 정류장에서 하차",,
JDU4MTI3MSM1MSMkMSMkMCMkMTMkNDgxOTYxIzIxIyQxIyQ1IyQ3MiQzNjEwMDIjNDEjJDEjJDQjJDgz,위례경희한의원,지하철,8호선,남위례역 4번출구,"창곡교차로에서 50 번 버스타고 래미안위례, 위례고운초등학교에서 하차",,
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNDgxNzAyIzIxIyQxIyQ1IyQ2MiQzNjEyMjIjNjEjJDEjJDAjJDgz,해수소중한아이정신건강의학과의원,지하철,수인분당선,미금역,3번 출구 분당프라자(롯데리아 건물),10m,
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkMzgxNzAyIzExIyQxIyQ3IyQ3OSQyNjEyMjIjNjEjJDEjJDAjJDgz,구대회현미경치과의원,지하철,분당선,서현역,5번출구로 나와서 349M,,
